Unique_ID,Date_Taken,Time_Taken,Time_Spent,Q1_Role_Title?,Q2_switch_careers?,Q3_Yearly_Salary,Q4_Industry,Q5_Programming_Language,Q6_Salary_Satisfaction,Q7_Work/Life_Balance_Satisfaction,Q8_Coworkers_Satisfaction,Q9_Management_Satisfaction,Q10_Upward_Mobility_Satisfaction,Q11_Learning_Opportunities_Satisfaction,Q12_Difficulty_Level_Entry_to_Data,Q13_Most_Important_Aspect_New_Job,Q14_Gender,Q15_Age,Q16_Country_of_Recidency,Q17_Education_Level,Q18_Ethnicity
62a33b3db4da29969c62df3d,6/10/2022,8:38,0:00:44,Data Analyst,Yes,125000,Healthcare,Python,9.0,9.0,7.0,5.0,5.0,7.0,Very Difficult,Remote Work,Male,26,US,No Awnser,White or Caucasian
62a33ba1bae91e4b8b82e35c,6/10/2022,8:40,0:01:30,Data Analyst,No,65000,Finance,R,1.0,2.0,5.0,2.0,1.0,3.0,Very Difficult,Remote Work,Male,36,CA,No Awnser,Asian or Asian American
62a33c2cbc6861bf3176bec1,6/10/2022,8:42,0:02:18,Data Engineer,No,40000,Clean Energy,Python,0.0,8.0,7.0,5.0,7.0,7.0,Easy,Good Work/Life Balance,Male,23,NG,No Awnser,Black or African American
62a33c8624a26260273822f9,6/10/2022,8:43,0:02:10,Consultant,Yes,225000,Finance,R,10.0,6.0,7.0,10.0,7.0,10.0,Very Easy,Remote Work,Female,35,CA,No Awnser,White or Caucasian
62a33c91f3072dd892621e03,6/10/2022,8:44,0:01:51,Data Analyst,Yes,65000,Healthcare,R,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,Better Salary,Male,44,US,No Awnser,Black or African American
62a33cb6cf25554317300177,6/10/2022,8:44,0:02:34,Data Analyst,Yes,40000,Leasing,Python,2.0,3.0,3.0,3.0,3.0,2.0,Difficult,Good Work/Life Balance,Male,33,CG,No Awnser,Black or African American
62a33cb72e54c9003e531c65,6/10/2022,8:44,0:01:15,Data Scientist,Yes,40000,Finance,Python,0.0,6.0,6.0,6.0,6.0,5.0,Difficult,Better Salary,Male,24,Other,No Awnser,Black or African American
62a33cd30f8c8599d5af0f8f,6/10/2022,8:45,0:01:25,Data Engineer,Yes,150000,Retail,SQL,10.0,5.0,5.0,5.0,5.0,9.0,Neither easy nor difficult,Remote Work,Male,35,US,No Awnser,Asian or Asian American
62a33cd3cf255543173001d9,6/10/2022,8:45,0:02:10,Data Analyst,Yes,105000,Healthcare,R,4.0,4.0,4.0,4.0,5.0,5.0,Neither easy nor difficult,Better Salary,Male,35,US,No Awnser,Asian or Asian American
62a33cd8bc6861bf3176c05f,6/10/2022,8:45,0:01:27,Data Analyst,Yes,65000,Telecommunication,Python,2.0,0.0,3.0,3.0,0.0,4.0,Very Difficult,Better Salary,Male,28,US,No Awnser,Hispanic or Latino
62a33ce918134ddc75ce8c30,6/10/2022,8:45,0:01:29,Data Analyst,Yes,85000,Logistics,Python,10.0,10.0,8.0,8.0,8.0,10.0,Neither easy nor difficult,Remote Work,Male,37,CA,No Awnser,White or Caucasian
62a33cf30a77c1a77f65baa2,6/10/2022,8:45,0:02:31,Data Analyst,Yes,40000,Tech,Python,3.0,8.0,10.0,10.0,7.0,8.0,Neither easy nor difficult,Better Salary,Male,32,CO,No Awnser,White or Caucasian
62a33d15f408bae018ed370d,6/10/2022,8:46,0:03:20,Data Analyst,Yes,40000,Tech,R,1.0,10.0,9.0,9.0,5.0,10.0,Neither easy nor difficult,Better Salary,Male,34,AR,No Awnser,Other (Please Specify):Latino with Italian roots
62a33d1ebae91e4b8b82e707,6/10/2022,8:46,0:00:55,Data Scientist,Yes,40000,Education,Python,3.0,10.0,10.0,6.0,7.0,8.0,Easy,Good Work/Life Balance,Male,30,UK,No Awnser,White or Caucasian
62a33d4624a26260273824c4,6/10/2022,8:47,0:01:24,Data Analyst,No,65000,Construction,R,4.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,31,US,No Awnser,White or Caucasian
62a33d5c0f8c8599d5af107c,6/10/2022,8:47,0:00:47,Data Analyst,Yes,65000,Finance,Python,4.0,10.0,7.0,7.0,7.0,5.0,Difficult,Good Culture,Male,29,US,No Awnser,White or Caucasian
62a33d850f8c8599d5af10cb,6/10/2022,8:48,0:01:06,Data Analyst,Yes,40000,Tech,Python,1.0,2.0,4.0,2.0,2.0,2.0,Neither easy nor difficult,Better Salary,Male,22,NE,No Awnser,Black or African American
62a33d9bf8f7561645852496,6/10/2022,8:48,0:01:04,Student,Yes,40000,Retail,Python,1.0,3.0,2.0,2.0,4.0,1.0,Difficult,Better Salary,Male,23,US,No Awnser,Black or African American
62a33dbdd8c00e9f5419cd65,6/10/2022,8:49,0:01:05,Student,No,65000,Tech,R,7.0,8.0,8.0,6.0,8.0,3.0,Very Difficult,Better Salary,Female,26,CA,No Awnser,Asian or Asian American
62a33de124a26260273826b2,6/10/2022,8:49,0:01:21,Data Analyst,No,40000,Aviation,Python,1.0,1.0,1.0,1.0,2.0,0.0,Very Difficult,Better Salary,Male,28,NG,No Awnser,Black or African American
62a33dedd8c00e9f5419ce2b,6/10/2022,8:49,0:01:23,Data Analyst,Yes,65000,Finance,Python,5.0,5.0,5.0,5.0,5.0,5.0,Easy,Remote Work,Male,29,KE,No Awnser,Black or African American
